id,raw_name,normalized_name,source,receipt_id,suggested_chain_id,suggested_location_id,confidence_score,status,created_at,full_address,address1,address2,city,state,country,zipcode,phone,currency,purchase_date,purchase_time
07b77754-20cb-4be9-a821-f9364aa93c5d,T&T Supermarket,t&t supermarket,llm,545f26a2-189a-41a6-a650-420521abdffb,,,,pending,2026-01-30T19:44:31.479252+00:00,"19630 Hwy 99, Lynnwood, WA 98036","19630 Hwy 99, Lynnwood, WA 98036",,,,US,,(425) 648-2648,USD,2026-01-25,12:46:58
ad9ed0b2-6269-4fd9-9160-91507a1d4bd9,TRADER,trader,llm,0f6f3749-430d-4bf9-9978-6226b201229d,,,,pending,2026-01-30T19:44:51.630721+00:00,"19715 Highway 99, Suite 101
Lynnwood, WA 98036
USA",19715 Highway 99,Suite 101,Lynnwood,WA,USA,98036,425-670-0623,USD,2026-01-25,13:00
4dcb95e1-6919-4dfb-aa79-fa7403353279,T&T Supermarket Lynnwood,t&t supermarket lynnwood,llm,837606ec-0c8c-4e5f-abb1-53ed3b3c094d,,,,pending,2026-01-30T19:45:08.633603+00:00,"19630 Hwy 99
Lynnwood, WA 98036
USA",19630 Hwy 99,,Lynnwood,WA,USA,98036,(425) 648-2648,USD,2026-01-25,12:38:37 PM
ddccda3c-b5ab-4f7e-8391-ab9adef158aa,In-N-Out Burger,in-n-out burger,llm,b9b29316-6f5a-408b-bbcb-46b4ab4713ab,,,,pending,2026-01-30T19:45:24.791556+00:00,,,,,,USA,,800-786-1000,USD,2026-01-24,13:14
4d5944b1-dd30-4e93-a51c-095e689f89d0,99 Ranch Market,99 ranch market,llm,69fa2a7e-1667-46a6-90d3-98552a0e7fef,,,,pending,2026-01-30T19:45:47.332464+00:00,"34444 Fremont Blvd
Fremont, CA 94555
USA",34444 Fremont Blvd,,Fremont,CA,USA,94555,(510) 791-8899,USD,2026-01-25,11:00:21
5e6bd1c0-d12c-4db2-ab9a-4765dee0edeb,INDIA BAZAR FARMERS MARKET,india bazar farmers market,llm,1258bece-521b-493f-af4a-6ac4c271e35e,,,,pending,2026-01-30T19:46:01.723958+00:00,"360 US 46 EAST
Totowa, NJ 07512",360 US 46 EAST,,Totowa,NJ,USA,07512,9738378819,USD,2026-01-28,19:23:10
5363804f-f513-4740-b904-485e1bbaefd7,99 Ranch Market,99 ranch market,llm,5c99253d-42a9-462a-bad4-615452ff4154,,,,pending,2026-01-30T19:46:24.687479+00:00,"34444 Fremont Blvd
Fremont, CA 94555
USA",34444 Fremont Blvd,,Fremont,CA,USA,94555,(510) 791-8899,USD,2026-01-28,14:35:44
8079eccd-34ee-4fb0-a4ab-eac85b4e5d56,"COSTCO
WHOLESALE","costco
wholesale",llm,4c7c4db7-bae8-4b8d-ac36-6928be4bc4a2,,,,pending,2026-01-30T19:46:42.982759+00:00,"18109 33rd Ave W #1190d
Lynnwood, WA 98037
USA",18109 33rd Ave W #1190d,,Lynnwood,WA,USA,98037,,USD,2025-09-10,20:04
797d78fd-76fc-4cb0-8dd0-64155d1385cc,COSTCO,costco,llm,ac5bf339-9957-4476-be38-94a9419be52a,,,,pending,2026-01-30T19:47:03.839213+00:00,7:3-5688 Macau St.,7:3-5688 Macau St.,,,,USA,,,USD,2025-09-08,09:42
3c20966b-1cd5-494f-83cc-555344390855,Island Gourmet Markets at The Queen's Marketplace,island gourmet markets at the queen's marketplace,llm,262f816f-eaaf-4be9-8cac-cf7bb35b01b7,,,,pending,2026-01-30T19:47:50.599135+00:00,"69-201 Waikōloa Beach Dr #201
Waikoloa Village, HI 96738
USA",69-201 Waikōloa Beach Dr #201,,Waikoloa Village,HI,USA,96738,(808) 886-3577,USD,2025-09-06,09:12:26
4c3bec85-6171-48f4-8442-57eb3ba48d5a,Island Gourmet Markets at The Queen's Marketplace,island gourmet markets at the queen's marketplace,llm,24b68055-75ae-437e-bf79-3d83fe5fb52e,,,,pending,2026-01-30T19:48:29.664823+00:00,"69-201 Waikōloa Beach Dr #201
Waikoloa Village, HI 96738
USA",69-201 Waikōloa Beach Dr #201,,Waikoloa Village,HI,USA,96738,(808) 886-3577,USD,2025-09-02,07:28:26
434573bb-e4bd-41a4-af0e-cba8799aca74,Longs Drugs,longs drugs,llm,3b2e7b79-ece2-4944-82da-8c589da72299,,,,pending,2026-01-30T19:48:45.076572+00:00,"555 KILAUEA AVE
HILO, HI 96720",555 KILAUEA AVE,,HILO,HI,USA,96720,808.935.3357,USD,2025-09-06,18:55
1eb8ac60-1c6e-4a3f-af79-5c595c5914e8,TNT Supermarket - Osaka Branch,tnt supermarket - osaka branch,llm,957e894c-f4c3-475c-84ab-b0ca5b358c91,,,,pending,2026-01-30T19:49:17.191919+00:00,"Yaohan Center, Unit 1000, 3700 Number 3 Rd, Richmond, BC V6X 3X2, Canada",Yaohan Center,"Unit 1000, 3700 Number 3 Rd, Richmond, BC V6X 3X2, Canada",,,Canada,,(604) 276-8808,CAD,2026-01-22,18:25:01
a4e1f8b6-279f-41d1-8b97-81b180817748,ISLAND GOURMET,island gourmet,llm,6fdab70c-ab41-4c07-8438-097d44488049,,,,pending,2026-01-30T19:49:39.232968+00:00,"69-201 Waikōloa Beach Dr #201
Waikoloa Village, HI 96738
USA",69-201 Waikōloa Beach Dr #201,,Waikoloa Village,HI,USA,96738,(808) 886-3577,USD,2025-09-07,17:51:25
a72adbc0-e7fd-44f9-89b6-d20d87705a72,ampm,ampm,llm,cdf73c83-2724-4b5d-a044-d2e3a2be669f,,,,pending,2026-01-30T19:49:57.170467+00:00,"705 116th Ave NE
Bellevue, WA",705 116th Ave NE,,Bellevue,WA,USA,,425-454-1750,USD,2026-01-21,12:23:20
17c1cae5-e318-4efb-9956-0dce86b30552,장안설렁탕JangAn Sullungtang,장안설렁탕jangan sullungtang,llm,29de167c-74a3-4a9c-bb6b-fe610e81ffea,,,,pending,2026-01-30T19:50:10.45714+00:00,"19520 Highway 99
Unit 100
Lynnwood, WA 98036
USA",19520 Highway 99,Unit 100,Lynnwood,WA,USA,98036,425-967-3895,USD,2026-01-25,12:20:59
d575721a-0aa3-4c8f-bd41-9a082344cefc,SWEET7,sweet7,llm,76871132-b592-41cf-8d41-456ebe413c20,,,,pending,2026-01-30T19:50:28.051882+00:00,"1131-8328 Capstan Way
#1131
Richmond, BC V6X 4B6
Canada",1131-8328 Capstan Way,#1131,Richmond,BC,CANADA,V6X 4B6,,CAD,2025-12-27,14:20:21
32a468be-cd18-415b-849c-afb20011d763,Save-On-Foods,save-on-foods,llm,329ee98e-c820-4d4e-a295-37e06e6cb00d,,,,pending,2026-01-30T19:50:37.489265+00:00,,,,,,Canada,,,CAD,2025-12-27,11:38:33
